Муниципальное образование,Все население,Доля,subway
Чертаново Северное,114653.0,0.009043404762000001,Южная
Чертаново Центральное,117308.0,0.009252821345999999,Южная
Чертаново Южное,151899.0,0.011981231540000001,Аннино
Новомосковский округ,274170.0,0.021625515980000003,Коммунарка
Поселение Внуковское,12816.0,0.001010878699,Рассказовка
Поселение Воскресенское,10037.0,0.0007916814527000001,Коммунарка
Поселение Московский,63010.0,0.004969995849,Саларьево
г. Московский,59218.0,0.004670896908,Саларьево
Поселение Мосрентген,20967.0,0.001653799444,Румянцево
Поселение Сосенское,33096.0,0.002610490122,Коммунарка
Поселение Троицк,61284.0,0.00483385535,Коммунарка
